Country Rank,Country/Territory,Country Code,Region,CPI 2014,Number of Surveys Used,Std Error,Min,Max,90% Lower CI,90% Upper CI,AFDB,BF (SGI),BF (BTI),IMD,ICRG,WB,WEF,WJP,EIU,GI,PERC,FH,
1,Denmark,DNK,EU,92,7,2.04,83,98,89,95,,97,,95,98,,90,90,88,83,,,
2,New Zealand,NZL,AP,91,7,2.28,83,98,87,95,,97,,88,98,,95,85,88,83,,,
3,Finland,FIN,EU,89,7,2.05,83,98,86,92,,89,,90,98,,94,83,88,83,,,
4,Sweden,SWE,EU,87,7,3.41,72,98,81,93,,97,,85,98,,72,85,88,83,,,
5,Norway,NOR,EU,86,7,2.38,79,98,82,90,,81,,79,98,,88,87,88,83,,,
5,Switzerland,CHE,EU,86,6,2.61,73,89,82,90,,89,,89,89,,86,,88,73,,,
7,Singapore,SGP,AP,84,8,1.75,75,90,81,87,,,75,86,79,,90,84,88,83,86,,
8,Netherlands,NLD,EU,83,7,1.97,73,89,80,86,,73,,85,89,,82,82,88,83,,,
9,Luxembourg,LUX,EU,82,6,2.78,71,90,77,87,,81,,78,89,,90,,71,83,,,
10,Canada,CAN,AM,81,7,2.45,72,89,77,85,,81,,72,89,,80,74,88,83,,,
11,Australia,AUS,AP,80,8,1.31,71,83,78,82,,81,,81,79,,83,80,71,83,80,,
12,Germany,DEU,EU,79,7,2.58,73,89,75,83,,73,,82,89,,75,76,88,73,,,
12,Iceland,ISL,EU,79,6,3.16,71,88,74,84,,73,,84,88,,87,,71,73,,,
14,United Kingdom,GBR,EU,78,7,2.09,73,88,75,81,,73,,79,79,,81,74,88,73,,,
15,Belgium,BEL,EU,76,7,2.26,71,89,72,80,,73,,73,89,,79,75,71,73,,,
15,Japan,JPN,AP,76,8,3.16,57,87,71,81,,57,,82,79,,87,77,71,73,78,,
17,Barbados,BRB,AM,74,3,8.09,60,88,61,87,,,,,,,60,,88,73,,,
17,Hong Kong,HKG,AP,74,7,2.75,64,87,69,79,,,,73,69,,87,78,71,73,64,,
17,Ireland,IRL,EU,74,6,4.75,54,87,66,82,,73,,85,69,,87,,54,73,,,
17,United States,USA,AM,74,8,3.74,60,89,68,80,,89,,76,60,,63,69,88,73,74,,
21,Chile,CHL,AM,73,8,1.74,65,79,70,76,,65,75,77,79,,75,66,71,73,,,
21,Uruguay,URY,AM,73,6,1.41,69,79,71,75,,,79,,69,,75,72,71,73,,,
23,Austria,AUT,EU,72,7,3.49,54,81,66,78,,81,,66,79,,71,77,54,73,,,
24,Bahamas,BHS,AM,71,3,0.99,69,73,69,73,,,,,69,,,,71,73,,,
24,Saint Lucia,LCA,AM,71,3,0.84,70,73,70,72,,,,,,70,,,71,73,,,
26,United Arab Emirates,ARE,ME,70,7,5.14,54,91,62,78,,,58,83,60,,91,72,54,73,,,
27,Estonia,EST,EU,69,9,2.89,54,81,64,74,,81,75,71,60,,77,72,54,63,,66,
27,France,FRA,EU,69,7,2.17,57,74,65,73,,57,,74,69,,67,71,71,73,,,
27,Qatar,QAT,ME,69,6,7.21,45,87,57,81,,,45,79,50,,87,,71,83,,,
30,Bhutan,BTN,AP,65,4,1.81,62,70,62,68,,,62,,,70,65,,,63,,,
31,Botswana,BWA,AF,63,6,1.93,58,71,60,66,,,62,,60,,58,66,71,63,,,
31,Cyprus,CYP,EU,63,5,3.92,49,71,57,69,,49,,,69,,65,,71,63,,,
31,Portugal,PRT,EU,63,7,3.36,50,73,57,69,,73,,50,60,,67,62,54,73,,,
31,Puerto Rico,PRI,AM,63,3,4.37,56,71,56,70,,,,,,,56,,71,63,,,
35,Saint Vincent and the Grenadines,VCT,AM,62,3,5.59,54,73,53,71,,,,,,58,,,54,73,,,
36,Poland,POL,EU,61,9,2.70,50,73,57,65,,73,66,63,50,,58,59,54,73,,55,
36,Taiwan,TWN,AP,61,7,4.17,48,79,54,68,,,79,65,50,,68,,54,63,48,,
38,Israel,ISR,ME,60,6,2.34,52,67,56,64,,65,,67,60,,60,,54,52,,,
38,Spain,ESP,EU,60,7,3.75,45,71,54,66,,57,,45,69,,48,62,71,63,,,
40,Dominica,DMA,AM,58,3,2.34,54,63,54,62,,,,,,58,,,54,63,,,
40,Lithuania,LTU,EU,58,8,3.85,41,71,52,64,,65,66,44,41,,55,,71,63,,55,
40,Slovenia,SVN,EU,58,9,3.03,40,73,53,63,,57,62,40,60,,56,53,54,73,,66,
43,Cape Verde,CPV,AF,57,4,5.94,42,70,47,67,62,,,,,70,55,,,42,,,
44,Korea (South),KOR,AP,55,9,2.64,44,73,51,59,,57,58,50,50,,53,73,54,52,44,,
44,Latvia,LVA,EU,55,8,3.35,41,73,50,60,,73,53,48,41,,58,,54,52,,60,
44,Malta,MLT,EU,55,5,2.63,49,63,51,59,,49,,,60,,50,,54,63,,,
44,Seychelles,SYC,AF,55,3,8.62,42,71,41,69,,,,,,,42,,71,52,,,
48,Costa Rica,CRI,AM,54,5,4.07,41,66,47,61,,,66,,41,,54,,54,52,,,
48,Hungary,HUN,EU,54,9,3.45,35,71,48,60,,49,58,35,50,,46,57,71,63,,52,
48,Mauritius,MUS,AF,54,4,2.39,49,60,50,58,,,49,,,,60,,54,52,,,
51,Georgia,GEO,EE,52,6,6.47,32,77,41,63,,,49,,,47,77,65,,32,,44,
51,Malaysia,MYS,AP,52,8,2.88,41,64,47,57,,,49,58,41,,64,57,54,42,50,,
53,Czech Republic,CZE,EU,51,9,2.94,36,63,46,56,,49,62,36,41,,48,53,54,63,,55,
54,Slovakia,SVK,EU,50,8,4.07,34,63,43,57,,57,62,34,41,,36,,54,63,,52,
55,Bahrain,BHR,ME,49,5,6.11,36,70,39,59,,,36,,50,,70,,38,52,,,
55,Jordan,JOR,ME,49,7,2.87,36,57,44,54,,,36,57,41,,52,50,54,52,,,
